iter	Passed	Remaining
0	119	119351
1	122	61329
2	126	41891
3	129	32298
4	132	26418
5	136	22597
6	139	19755
7	143	17732
8	145	16056
9	149	14782
10	152	13689
11	155	12816
12	158	12041
13	162	11425
14	165	10857
15	168	10384
16	173	10031
17	176	9632
18	179	9290
19	182	8956
20	186	8679
21	189	8418
22	192	8196
23	195	7930
24	197	7719
25	200	7499
26	202	7289
27	204	7103
28	206	6909
29	208	6730
30	210	6570
31	212	6424
32	213	6265
33	215	6118
34	217	5986
35	218	5842
36	219	5704
37	220	5573
38	221	5449
39	222	5351
40	224	5241
41	225	5134
42	225	5028
43	226	4927
44	228	4840
45	229	4755
46	230	4664
47	230	4576
48	231	4491
49	232	4410
50	232	4333
51	233	4258
52	235	4203
53	236	4135
54	236	4067
55	237	4002
56	238	3940
57	238	3879
58	239	3820
59	240	3773
60	242	3728
61	242	3674
62	243	3622
63	244	3572
64	244	3523
65	245	3476
66	246	3436
67	248	3399
68	248	3356
69	249	3314
70	250	3273
71	250	3233
72	251	3196
73	253	3169
74	254	3133
75	254	3097
76	255	3062
77	256	3027
78	256	2993
79	257	2960
80	259	2939
81	259	2909
82	260	2875
83	260	2845
84	261	2816
85	262	2787
86	262	2759
87	263	2732
88	265	2716
89	266	2690
90	266	2665
91	267	2639
92	268	2615
93	268	2591
94	269	2567
95	270	2548
96	271	2531
97	272	2509
98	273	2487
99	273	2465
100	274	2444
101	275	2424
102	276	2404
103	277	2393
104	278	2375
105	279	2356
106	280	2338
107	280	2320
108	281	2303
109	282	2285
110	284	2276
111	284	2259
112	285	2242
113	286	2225
114	287	2209
115	287	2192
116	288	2175
117	289	2164
118	290	2152
119	291	2138
120	292	2122
121	292	2107
122	293	2092
123	294	2078
124	294	2063
125	296	2058
126	297	2044
127	298	2030
128	298	2017
129	299	2003
130	300	1990
131	300	1978
132	301	1968
133	303	1959
134	303	1947
135	304	1935
136	305	1922
137	305	1910
138	306	1899
139	307	1887
140	308	1881
141	309	1870
142	310	1859
143	310	1848
144	311	1837
145	312	1826
146	313	1816
147	313	1806
148	315	1802
149	316	1792
150	316	1781
151	317	1771
152	318	1761
153	318	1751
154	319	1742
155	321	1737
156	322	1728
157	322	1719
158	323	1711
159	324	1702
160	324	1692
161	325	1684
162	327	1679
163	328	1673
164	329	1665
165	330	1658
166	330	1650
167	331	1641
168	332	1635
169	333	1630
170	334	1621
171	335	1613
172	335	1605
173	336	1597
174	337	1590
175	338	1584
176	339	1579
177	340	1572
178	341	1564
179	341	1557
180	342	1549
181	343	1542
182	343	1535
183	345	1530
184	346	1524
185	346	1517
186	347	1510
187	348	1503
188	348	1496
189	349	1489
190	350	1484
191	352	1481
192	352	1475
193	353	1468
194	354	1461
195	354	1455
196	355	1448
197	356	1442
198	357	1439
199	358	1434
200	359	1427
201	359	1421
202	360	1415
203	361	1409
204	361	1403
205	362	1397
206	364	1396
207	365	1390
208	365	1384
209	366	1378
210	367	1373
211	367	1367
212	368	1361
213	369	1358
214	370	1353
215	371	1348
216	372	1343
217	373	1338
218	374	1333
219	374	1328
220	376	1327
221	377	1322
222	378	1317
223	378	1311
224	379	1306
225	380	1301
226	380	1296
227	381	1293
228	383	1290
229	383	1285
230	384	1280
231	385	1275
232	385	1270
233	386	1265
234	387	1260
235	389	1259
236	389	1254
237	390	1250
238	391	1245
239	391	1240
240	392	1235
241	393	1231
242	393	1226
243	395	1225
244	396	1220
245	396	1216
246	397	1211
247	398	1207
248	398	1202
249	399	1198
250	400	1194
251	401	1193
252	402	1188
253	403	1184
254	404	1180
255	404	1176
256	405	1171
